apno,aptype,issued,value
REP19-9472255,REPAIR,2019-03-18T00:00:00.000,12500
GC19-9470969,GC,2019-03-15T00:00:00.000,880
REP19-9472185,REPAIR,2019-03-15T00:00:00.000,2940
REP19-9472201,REPAIR,2019-03-15T00:00:00.000,100000
REP19-9472116,REPAIR,2019-03-14T00:00:00.000,500
REP19-9472112,REPAIR,2019-03-13T00:00:00.000,8162
GC19-9471803,GC,2019-03-11T00:00:00.000,89267
GC19-9470396,GC,2019-03-08T00:00:00.000,10000
REP19-9471894,REPAIR,2019-03-07T00:00:00.000,8500
REP19-9471882,REPAIR,2019-03-07T00:00:00.000,15988
GC19-9471727,GC,2019-03-05T00:00:00.000,21000
REP19-9471809,REPAIR,2019-03-05T00:00:00.000,9650
REP19-9470861,REPAIR,2019-03-04T00:00:00.000,10500
REP19-9471760,REPAIR,2019-03-04T00:00:00.000,10000
GC19-9471308,GC,2019-03-01T00:00:00.000,38868.85
GC19-9471309,GC,2019-03-01T00:00:00.000,34880.63
REP19-9471738,REPAIR,2019-03-01T00:00:00.000,23381
REP19-9471490,REPAIR,2019-02-27T00:00:00.000,21000
REP19-9471588,REPAIR,2019-02-26T00:00:00.000,8000
REP19-9471479,REPAIR,2019-02-22T00:00:00.000,11577
GC19-9470594,GC,2019-02-20T00:00:00.000,2500
REP19-9471343,REPAIR,2019-02-20T00:00:00.000,16000
REP19-9471119,REPAIR,2019-02-11T00:00:00.000,500
REP19-9471112,REPAIR,2019-02-11T00:00:00.000,6600
REP19-9471040,REPAIR,2019-02-08T00:00:00.000,16000
REP19-9471085,REPAIR,2019-02-08T00:00:00.000,10000
REP19-9470533,REPAIR,2019-02-05T00:00:00.000,31538
REP19-9470943,REPAIR,2019-02-05T00:00:00.000,1500
REP19-9470854,REPAIR,2019-02-05T00:00:00.000,18764
REP19-9470863,REPAIR,2019-02-04T00:00:00.000,10000
REP19-9470804,REPAIR,2019-02-01T00:00:00.000,5000
REP19-9470802,REPAIR,2019-02-01T00:00:00.000,15200
REP19-9470765,REPAIR,2019-01-29T00:00:00.000,4558
GC19-9470252,GC,2019-01-28T00:00:00.000,40000
REP18-9467449,REPAIR,2019-01-25T00:00:00.000,18100
REP19-9470637,REPAIR,2019-01-24T00:00:00.000,29650
REP19-9470455,REPAIR,2019-01-18T00:00:00.000,9500
REP19-9470390,REPAIR,2019-01-16T00:00:00.000,19700
REP19-9470189,REPAIR,2019-01-10T00:00:00.000,17000
REP19-9470074,REPAIR,2019-01-07T00:00:00.000,16250
REP19-9468966,REPAIR,2019-01-03T00:00:00.000,29192.15
REP19-9468919,REPAIR,2019-01-02T00:00:00.000,15000
REP19-9468900,REPAIR,2019-01-02T00:00:00.000,26800
REP18-9468879,REPAIR,2018-12-28T00:00:00.000,5500
REP18-9467441,REPAIR,2018-12-27T00:00:00.000,19252
REP18-9467621,REPAIR,2018-12-19T00:00:00.000,20000
REP18-9467652,REPAIR,2018-12-19T00:00:00.000,800
REP18-9467575,REPAIR,2018-12-18T00:00:00.000,2000
REP18-9467485,REPAIR,2018-12-14T00:00:00.000,2375
REP18-9467495,REPAIR,2018-12-14T00:00:00.000,4790
REP18-9467353,REPAIR,2018-12-11T00:00:00.000,13000
REP18-9467344,REPAIR,2018-12-11T00:00:00.000,19500
GC18-9466865,GC,2018-12-07T00:00:00.000,17006
REP18-9466805,REPAIR,2018-12-10T00:00:00.000,7483
REP18-9467207,REPAIR,2018-12-10T00:00:00.000,16492
REP18-9467115,REPAIR,2018-12-08T00:00:00.000,5000
REP18-9467011,REPAIR,2018-12-05T00:00:00.000,7750
REP18-9467005,REPAIR,2018-12-05T00:00:00.000,15000
REP18-9466975,REPAIR,2018-12-04T00:00:00.000,8000
REP18-9466989,REPAIR,2018-12-04T00:00:00.000,8550
REP18-9466990,REPAIR,2018-12-04T00:00:00.000,8700
REP18-9466916,REPAIR,2018-12-03T00:00:00.000,33599
REP18-9466881,REPAIR,2018-12-02T00:00:00.000,10000
REP18-9466781,REPAIR,2018-11-28T00:00:00.000,20000
REP18-9466718,REPAIR,2018-11-27T00:00:00.000,5000
REP18-9466581,REPAIR,2018-11-20T00:00:00.000,6200
REP18-9466554,REPAIR,2018-11-20T00:00:00.000,4000
REP18-9466459,REPAIR,2018-11-16T00:00:00.000,5000
REP18-9466496,REPAIR,2018-11-19T00:00:00.000,14300
REP18-9466504,REPAIR,2018-11-19T00:00:00.000,1000
REP18-9466507,REPAIR,2018-11-19T00:00:00.000,15100
REP19-9485443,REPAIR,2019-07-31T00:00:00.000,1250
REP19-9485340,REPAIR,2019-07-29T00:00:00.000,14385
REP19-9485330,REPAIR,2019-07-29T00:00:00.000,10525
